142,Paro,0,2,NULL,0.00
143,Shanghai,0,2,SHA,0.00
144,Huntsville, AL,0,2,NULL,0.00
145,Abu Dhabi,0,2,AUH,0.00
146,Hanoi,0,2,HAN,0.00
147,Samui,0,2,USM,0.00
148,Dayton,0,2,DAY,0.00
149,Manila,0,2,MNL,0.00
150,Kiev,0,2,NULL,0.00
151,Bishkek,0,2,FRU,0.00
152,Yogyakarta,0,2,JOG,0.00
153,Siem Reap,0,2,REP,0.00
154,Port Elizabeth,0,2,PLZ,0.00
155,Victoria Falls,0,2,VFA,0.00
156,Durban,0,2,DUR,0.00
157,Denis Island,0,2,NULL,0.00
158,Johannesburg,0,2,JNB,0.00
159,Lusaka,0,2,LUN,0.00
160,Dar-Es-Salaam,0,2,NULL,0.00
161,Lilongwe,0,2,LLW,0.00
162,Entebbe,0,2,EBB,0.00
163,Mauritius,0,2,MRU,0.00
164,George,0,2,GRJ,0.00
165,Mahe,0,2,NULL,0.00
166,Edinburgh,1,2,EDI,0.00
167,Muscat,0,2,MCT,0.00
168,Mombasa,0,2,MBA,0.00
169,Dubai,0,2,DXB,0.00
170,Heathrow,1,2,LHR,0.00
171,Birmingham,1,2,BHX,0.00
172,Beijing,0,2,PEK,0.00
173,Ulaan Baator,0,2,ULN,0.00
174,Phnom Penh,0,2,PNH,0.00
175,Tokyo,0,2,TYO,0.00
176,Islamabad,0,2,ISB,0.00
177,Jakarta,0,2,CGK,0.00
178,Ho Chi Minh City,0,2,SGN,0.00
179,Marrakech,0,2,RAK,0.00
180,Mataram,0,2,AMI,0.00
181,St Petersburg,0,2,LED,0.00
182,Agadir,0,2,AGA,0.00
183,Male,0,2,MLE,0.00
184,Frankfurt,0,2,FRA,0.00
185,Vienna,0,2,VIE,0.00
186,Singapore,0,2,SIN,0.00
187,Calcutta,0,2,CCU,0.00
188,Colombo,0,2,CMB,0.00
189,Fes,0,2,FEZ,0.00
190,Trivandrum,0,2,NULL,0.00
191,Ashkabad,0,2,ASB,0.00
192,Kathmandu,0,2,KTM,0.00
